time,0.03,0.0336738614492812,0.0377976314968462,0.0424264068711929,0.047622031559046,0.0534539230884204,0.06,0.0673477228985624,0.0755952629936924,0.0848528137423857,0.095244063118092,0.106907846176841,0.12,0.134695445797125,0.151190525987385,0.169705627484771,0.190488126236184,0.213815692353681,0.24,0.269390891594249,0.302381051974769,0.339411254969543,0.380976252472368,0.427631384707363,0.48,0.538781783188499
1241136000,194494,197914,311762,410289,532014,762185,972060,1489373,1949947,2715048,3536848,4308022,5360790,6134934,7055066,7384276,7073380,6033077,4254095,2123444,747431,248250,167324,104432,66163,114124
1241139600,140375,159268.5,244679,318114,426824,606610,823475.5,1213676.5,1630868,2299727,3054961.5,3916735.5,4916442.5,5772054.5,6854715,7347027,7579722,6912849,5509569.5,3334983.5,1440516,457576.5,191919.5,115787.5,63841,126402.5
1241143200,86256,120623,177596,225939,321634,451035,674891,937980,1311789,1884406,2573075,3525449,4472095,5409175,6654364,7309778,8086064,7792621,6765044,4546523,2133601,666903,216515,127143,61519,138681
1241146800,64205,102665.5,137014.5,173684.5,239501,329355,484053.5,671368,969759.5,1449101,1999151,2846337,3780657,4775081,5940831.5,6906500.5,7877568,7971149,7579024,6153124,3761508.5,1693225.5,541586.5,169340.5,73789,132743.5
1241150400,42154,84708,96433,121430,157368,207675,293216,404756,627730,1013796,1425227,2167225,3089219,4140987,5227299,6503223,7669072,8149677,8393004,7759725,5389416,2719548,866658,211538,86059,126806
1241154000,38734,62329,73772,84619,112851,151380,208872.5,296838.5,436216.5,675920.5,1005303,1536970,2224837,3136765,4240443.5,5431381,6796700.5,7529185.5,8210096.5,8133585,6752776.5,4477568,2041323,542317,163882.5,192467
1241157600,35314,39950,51111,47808,68334,95085,124529,188921,244703,338045,585379,906715,1360455,2132543,3253588,4359539,5924329,6908694,8027189,8507445,8116137,6235588,3215988,873096,241706,258128
1241161200,33726,40607,50493,50835,66113.5,88589,113886,145988.5,190689.5,276686,468915,701558,1052582,1669412,2630696,3677333.5,5284195.5,6517068.5,8050579.5,8851072.5,9036412,7658259.5,4579275,1782106,501581,415251.5
1241164800,32138,41264,49875,53862,63893,82093,103243,103056,136676,215327,352451,496401,744709,1206281,2007804,2995128,4644062,6125443,8073970,9194700,9956687,9080931,5942562,2691116,761456,572375
1241168400,28831,40812,44897,54613,52339,76920,80828,100395,126803.5,186669.5,293314,418374.5,599206.5,965872,1622875,2497855,4020126,5740101,7890204,9323392,9975267.5,9146248.5,6628288.5,3520902.5,1339895.5,658720.5
1241172000,25524,40360,39919,55364,40785,71747,58413,97734,116931,158012,234177,340348,453704,725463,1237946,2000582,3396190,5354759,7706438,9452084,9993848,9211566,7314015,4350689,1918335,745066
1241175600,39499.5,51694,46039.5,82864.5,67976.5,108869.5,99052,152228.5,184431,274173.5,342150,475257.5,664628.5,1016174,1665999.5,2545337.5,4283245.5,6156175.5,8079092,9209251,9254972,8372289,6812356.5,4450665,2236538.5,965914
1241179200,53475,63028,52160,110365,95168,145992,139691,206723,251931,390335,450123,610167,875553,1306885,2094053,3090093,5170301,6957592,8451746,8966418,8516096,7533012,6310698,4550641,2554742,1186762
1241182800,61436,72022.5,80689.5,119718.5,140948.5,185996.5,221751,319818.5,418716.5,611776,808012.5,1193779,1721095.5,2514959,3757517,5203581,7006662.5,8317544.5,8773083.5,8241927,7318120,6408745,5230042,3808237,2099963,1018232.5
1241186400,69397,81017,109219,129072,186729,226001,303811,432914,585502,833217,1165902,1777391,2566638,3723033,5420981,7317069,8843024,9677497,9094421,7517436,6120144,5284478,4149386,3065833,1645184,849703
1241190000,84646.5,96272,119567,164408,233810,327401,423392.5,635442,911266,1358226.5,1966575,2923777.5,3951732.5,5467466.5,7157498.5,8861824.5,10123946.5,9777750,8613244.5,6552288.5,5069541,4161649.5,3217302.5,2300017,1220656.5,648421.5
1241193600,99896,111527,129915,199744,280891,428801,542974,837970,1237030,1883236,2767248,4070164,5336827,7211900,8894016,10406580,11404869,9878003,8132068,5587141,4018938,3038821,2285219,1534201,796129,447140
1241197200,132966,166607,200279.5,334549.5,419564.5,636247.5,883338,1350875,1908872,2816950.5,3995434.5,5342956.5,6791496,8554163,10263600,11301407,11808076.5,9914169,7476408,4757861.5,3094629.5,2271532.5,1690128,1118979.5,565696,341962
1241200800,166036,221687,270644,469355,558238,843694,1223702,1863780,2580714,3750665,5223621,6615749,8246165,9896426,11633184,12196234,12211284,9950335,6820748,3928582,2170321,1504244,1095037,703758,335263,236784
1241204400,221655,319134,420910,601360,829436,1206241,1701850.5,2484335.5,3304342.5,4592245,6096489.5,7531156.5,9103797.5,10703865.5,12309297.5,12486559.5,11993431,9303671,6142469.5,3286214,1709600,1145307,804619.5,503445,250265,203570
1241208000,277274,416581,571176,733365,1100634,1568788,2179999,3104891,4027971,5433825,6969358,8446564,9961430,11511305,12985411,12776885,11775578,8657007,5464191,2643846,1248879,786370,514202,303132,165267,170356
1241211600,331899,508659,689349.5,843029.5,1326188.5,1843535.5,2454935.5,3516511,4416137.5,5778939.5,7375701,8947029.5,10316602.5,11700574,12988898,12642936.5,11484007.5,8217085,4934335.5,2200523.5,1002679.5,587853.5,420073.5,253617.5,131776,152889.5
1241215200,386524,600737,807523,952694,1551743,2118283,2729872,3928131,4804304,6124054,7782044,9447495,10671775,11889843,12992385,12508988,11192437,7777163,4404480,1757201,756480,389337,325945,204103,98285,135423
1241218800,348508.5,530812.5,725079,932909.5,1447216.5,2026507.5,2641998.5,3760800,4818334,6086221,7806910.5,9490607.5,10834323.5,12124639,13354385.5,13163184.5,12081028,8945444,5321049,2232093,841518.5,399065.5,301246.5,182161,84807.5,129024
1241222400,310493,460888,642635,913125,1342690,1934732,2554125,3593469,4832364,6048388,7831777,9533720,10996872,12359435,13716386,13817381,12969619,10113725,6237618,2706985,926557,408794,276548,160219,71330,122625
1241226000,243955.5,363261.5,477155.5,696000,1029935.5,1516205,2004434.5,2922178,3955192,5191794.5,6881597,8510247.5,10124920.5,11670669.5,13398816,13811788.5,13786866.5,11836552,8782971,4912852,1873241,631911,298690.5,187439,99917,156671
1241229600,177418,265635,311676,478875,717181,1097678,1454744,2250887,3078020,4335201,5931417,7486775,9252969,10981904,13081246,13806196,14604114,13559379,11328324,7118719,2819925,855028,320833,214659,128504,190717
1241233200,129907,214136.5,245343,352451.5,540330.5,786350,1089281.5,1677466.5,2413650,3378650.5,4756090.5,6300918.5,8008459.5,9916029.5,12022466.5,13142631,14351877.5,14085342,13004203,9978706.5,5828045.5,2495033,737115,258951,146647.5,210868.5
1241236800,82396,162638,179010,226028,363480,475022,723819,1104046,1749280,2422100,3580764,5115062,6763950,8850155,10963687,12479066,14099641,14611305,14680082,12838694,8836166,4135038,1153397,303243,164791,231020
1241240400,72942.5,109788,128331.5,156461,249532,333715.5,502138,751850.5,1164988.5,1643288,2517895.5,3717240.5,5077653.5,7035022,9363584.5,11218634.5,13426825.5,14753111,15762000.5,15238107.5,12504817.5,7907467,3182788.5,841868.5,234297,282592
1241244000,63489,56938,77653,86894,135584,192409,280457,399655,580697,864476,1455027,2319419,3391357,5219889,7763482,9958203,12754010,14894917,16843919,17637521,16173469,11679896,5212180,1380494,303803,334164
1241247600,56458,58014.5,74279,82390,116235,154428.5,231732,301834,455923.5,657601.5,1041858.5,1655683,2511366.5,3956179,6150391.5,8285684.5,11210007,14025977,16590234.5,18353420,17656578.5,14340775.5,7852251,2830365.5,631753.5,430455.5
1241251200,49427,59091,70905,77886,96886,116448,183007,204013,331150,450727,628690,991947,1631376,2692469,4537301,6613166,9666004,13157037,16336550,19069319,19139688,17001655,10492322,4280237,959704,526747
1241254800,44956.5,58023,64088.5,70227.5,90788.5,114199.5,158668.5,195703,271113.5,386664.5,519664.5,798768,1315996.5,2148585.5,3761188.5,5739447.5,8795914.5,12593245,16423231,19350055.5,19375328,17227692,11773706.5,5857121.5,1817245.5,751503.5
1241258400,40486,56955,57272,62569,84691,111951,134330,187393,211077,322602,410639,605589,1000617,1604702,2985076,4865729,7925825,12029453,16509912,19630792,19610968,17453729,13055091,7434006,2674787,976260
1241262000,70456,109777,122261,135854.5,182686,241198,309980.5,394691.5,517336,691859,950534.5,1352871,1921287.5,2828551,4390255,6340371,9550231.5,12914792.5,16059083.5,17670165.5,16808428.5,14689519,11352351.5,6961600.5,2915486.5,1136496
1241265600,100426,162599,187250,209140,280681,370445,485631,601990,823595,1061116,1490430,2100153,2841958,4052400,5795434,7815013,11174638,13800132,15608255,15709539,14005889,11925309,9649612,6489195,3156186,1296732
1241269200,111931.5,175531.5,194567.5,232069,298109,408089,501177,661734.5,938923.5,1266715,1820352,2715060.5,3824333.5,5574252,8136526.5,10802988.5,14055467.5,15553679,15381913,14339710.5,12188862.5,10359156.5,8226316,5579385,2818409,1194799
1241272800,123437,188464,201885,254998,315537,445733,516723,721479,1054252,1472314,2150274,3329968,4806709,7096104,10477619,13790964,16936297,17307226,15155571,12969882,10371836,8793004,6803020,4669575,2480632,1092866
1241276400,144180,207144.5,229428,330013,421961.5,608958,787219,1194126.5,1769074.5,2504098,3787339,5436916.5,7545540.5,10146257.5,13660682.5,16269228,18270051,16775387.5,13760702.5,10735926,8179315.5,6723964,5113031.5,3477956.5,1810745,857099
1241280000,164923,225825,256971,405028,528386,772183,1057715,1666774,2483897,3535882,5424404,7543865,10284372,13196411,16843746,18747492,19603805,16243549,12365834,8501970,5986795,4654924,3423043,2286338,1140858,621332
1241283600,236723.5,319728.5,387491,593741.5,846892,1257544.5,1694246,2658182.5,3795024,5205631.5,7503084.5,10069974.5,12801688,15913046,19139064.5,20400547.5,20486112.5,16322939.5,11584222,7213736,4748326.5,3514275.5,2540879,1614943.5,816628,494113
1241287200,308524,413632,518011,782455,1165398,1742906,2330777,3649591,5106151,6875381,9581765,12596084,15319004,18629681,21434383,22053603,21368420,16402330,10802610,5925502,3509858,2373627,1658715,943549,492398,366894
1241290800,446128.5,643154.5,860051,1192406,1709023.5,2498784.5,3240841,4799155,6372136,8259173.5,10921978,13854768,16539872.5,19526245,21996414,22167006.5,20805544.5,15477616.5,9689795,4999942.5,2771437.5,1842562.5,1250345.5,749179,373190,330245.5
1241294400,583733,872677,1202091,1602357,2252649,3254663,4150905,5948719,7638121,9642966,12262191,15113452,17760741,20422809,22558445,22280410,20242669,14552903,8576980,4074383,2033017,1311498,841976,554809,253982,293597
1241298000,784216,1112944.5,1482472,1978145.5,2746661,3813465,4846794,6710555,8590517,10853153,13513708.5,16382871.5,18787905.5,21433931.5,23321346.5,22627305,20221157,13945778.5,7892784.5,3611265,1741296.5,1120407,751906.5,503914.5,216560,280311
1241301600,984699,1353212,1762853,2353934,3240673,4372267,5542683,7472391,9542913,12063340,14765226,17652291,19815070,22445054,24084248,22974200,20199645,13338654,7208589,3148147,1449576,929316,661837,453020,179138,267025
1241305200,910561.5,1250800,1652110.5,2220551,3052612.5,4216040,5405140.5,7348561.5,9379518,11821621,14630364,17589502,19993723.5,22507694,24451397.5,23886126.5,21469743,15230813,8494934,3701978.5,1449094,822291,589499,415921.5,167161.5,262241.5
1241308800,836424,1148388,1541368,2087168,2864552,4059813,5267598,7224732,9216123,11579902,14495502,17526713,20172377,22570334,24818547,24798053,22739841,17122972,9781279,4255810,1448612,715266,517161,378823,155185,257458
